,PLAYERID,player,DFGM,DFGA,Defending FG%,oFG%,difference
397,203133,"Hummel, Robbie",76.0,181.0,0.4198895027624309,0.45082409933008416,0.03093459656765324
4835,2440,"Barnes, Matt",236.0,570.0,0.41403508771929826,0.4444844709220672,0.030449383202768965
71,1718,"Pierce, Paul",179.0,435.0,0.4114942528735632,0.44176013181228885,0.03026587893872562
2591,203493,"Bullock, Reggie",26.0,65.0,0.4,0.43018878538018945,0.03018878538018943
260,201952,"Teague, Jeff",169.0,423.0,0.39952718676122934,0.42876574671961776,0.02923855995838842
287,202083,"Matthews, Wesley",202.0,490.0,0.4122448979591837,0.4414439198770999,0.029199021917916235
431,203089,"Henson, John",140.0,325.0,0.4307692307692308,0.45969113720301297,0.028921906433782174
243,202323,"Turner, Evan",205.0,498.0,0.41164658634538154,0.4404502858696489,0.028803699524267368
5095,203469,"Zeller, Cody",225.0,519.0,0.43352601156069365,0.46219109665082747,0.028665085090133824
702,203382,"Baynes, Aron",131.0,300.0,0.43666666666666665,0.4651973163390916,0.028530649672424968
296,101108,"Paul, Chris",210.0,507.0,0.41420118343195267,0.44251150818659335,0.02831032475464068
1854,2732,"Gordon, Ben",51.0,128.0,0.3984375,0.4265556186157408,0.028118118615740817
274,203459,"Crabbe, Allen",43.0,107.0,0.40186915887850466,0.42933728729701,0.027468128418505322
553,203503,"Snell, Tony",92.0,218.0,0.42201834862385323,0.4488972436736358,0.02687889504978258
783,203124,"O'Quinn, Kyle",112.0,247.0,0.4534412955465587,0.4799653098458029,0.02652401429924417
368,201573,"Bayless, Jerryd",143.0,353.0,0.40509915014164305,0.4314852755384959,0.026386125396852866
1839,201595,"Dorsey, Joey",94.0,211.0,0.44549763033175355,0.4718525104129719,0.026354880081218335
100,1495,"Duncan, Tim",286.0,637.0,0.4489795918367347,0.4744945381918499,0.025514946355115198
453,1882,"Brand, Elton",31.0,70.0,0.44285714285714284,0.4676997600551886,0.024842617198045758
905,201585,"Koufos, Kosta",147.0,327.0,0.44954128440366975,0.474128534539134,0.024587250135464256
405,201168,"Splitter, Tiago",124.0,275.0,0.4509090909090909,0.4751645812795097,0.024255490370418797
4755,202326,"Cousins, DeMarcus",245.0,542.0,0.45202952029520294,0.4758265118569331,0.023796991561730152
202,202397,"Smith, Ish",34.0,82.0,0.4146341463414634,0.4384185414788458,0.023784395137382397
5807,203080,"Robinson, Thomas",59.0,136.0,0.4338235294117647,0.45735560120185415,0.023532071790089426
425,203092,"Zeller, Tyler",252.0,549.0,0.45901639344262296,0.48232080350358403,0.023304410060961067
2370,201949,"Johnson, James",159.0,379.0,0.41952506596306066,0.4423016262096877,0.022776560246627053
27,2734,"Harris, Devin",133.0,324.0,0.4104938271604938,0.4331204215165915,0.022626594356097707
265,202691,"Thompson, Klay",215.0,520.0,0.41346153846153844,0.43584145168231747,0.022379913220779035
256,201143,"Horford, Al",263.0,586.0,0.44880546075085326,0.4707915337836527,0.021986073032799425
5798,203123,"Papanikolaou, Kostas",97.0,225.0,0.4311111111111111,0.4529834375087953,0.02187232639768416
1478,201167,"Afflalo, Arron",191.0,458.0,0.4170305676855895,0.43802572666312084,0.020995158977531347
843,203909,"McDaniels, KJ",148.0,349.0,0.42406876790830944,0.4450048266485613,0.02093605874025184
408,201980,"Green, Danny",223.0,533.0,0.41838649155722324,0.4393178722602906,0.02093138070306738
5096,201945,"Henderson, Gerald",170.0,408.0,0.4166666666666667,0.43673711292435535,0.020070446257688668
9,201961,"Ellington, Wayne",132.0,319.0,0.41379310344827586,0.43360086043039997,0.019807756982124114
9812,530027,"Pondexter, Quincy",21.0,52.0,0.40384615384615385,0.42346482308509453,0.019618669238940678
794,202336,"Sanders, Larry",108.0,236.0,0.4576271186440678,0.4771294328289436,0.019502314184875802
91,203994,"Nurkic, Jusuf",155.0,341.0,0.45454545454545453,0.47404625384770405,0.019500799302249516
1615,201177,"McRoberts, Josh",35.0,78.0,0.44871794871794873,0.46754447045714265,0.018826521739193913
16,201973,"Jerebko, Jonas",123.0,282.0,0.43617021276595747,0.4548375190560394,0.018667306290081953
994,201577,"Lopez, Robin",200.0,437.0,0.4576659038901602,0.4756354777902687,0.017969573900108504
688,201163,"Chandler, Wilson",231.0,542.0,0.4261992619926199,0.44412010395955825,0.017920841966938328
970,2594,"Korver, Kyle",237.0,560.0,0.4232142857142857,0.4408024021922606,0.01758811647797487
336,203458,"Len, Alex",252.0,556.0,0.45323741007194246,0.470686872465278,0.017449462393335557
314,202730,"Allen, Lavoy",141.0,314.0,0.44904458598726116,0.46594021525821216,0.016895629270951007
430,201935,"Harden, James",264.0,607.0,0.43492586490939045,0.45171986016063315,0.0167939952512427
5017,203498,"Muhammad, Shabazz",101.0,242.0,0.41735537190082644,0.4335863661821235,0.01623099428129704
284,200777,"Freeland, Joel",79.0,177.0,0.4463276836158192,0.4624878236851933,0.016160140069374107
250,2200,"Gasol, Pau",354.0,754.0,0.46949602122015915,0.4856302688422338,0.01613424762207466
43,201228,"Watson, CJ",124.0,300.0,0.41333333333333333,0.4294462101421615,0.01611287680882817
1555,201150,"Hawes, Spencer",160.0,358.0,0.44692737430167595,0.4627253390048034,0.015797964703127443
2569,203488,"Muscala, Mike",19.0,43.0,0.4418604651162791,0.4576441558419866,0.01578369072570751
488,201572,"Lopez, Brook",248.0,535.0,0.4635514018691589,0.4790930426595537,0.015541640790394828
8583,101131,"Maxiell, Jason",85.0,185.0,0.4594594594594595,0.4749799900824565,0.01552053062299702
292,200755,"Redick, JJ",212.0,492.0,0.43089430894308944,0.4462958930684122,0.015401584125322776
707,202695,"Leonard, Kawhi",157.0,363.0,0.4325068870523416,0.4476222666148687,0.01511537956252712
13415,201593,"Pekovic, Nikola",127.0,276.0,0.4601449275362319,0.4747605191690002,0.014615591632768321
476,202329,"Aminu, Al-Farouq",128.0,295.0,0.43389830508474575,0.4475965054970788,0.01369820041233305
4753,203463,"McLemore, Ben",252.0,586.0,0.4300341296928328,0.44335961227172144,0.013325482578888659
